C 1 C C C C C 1 . C = C C ( = O ) O C . C O c 1 c c ( Br ) c c ( O C ) c 1 O C | [v13]
C 1 C C N C 1 . F C ( F ) ( F ) I . O = C C C c 1 c c c c c 1 | [v4]
C = C ( C ) c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) F | [v0]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c c ( O C ) c 1 . F [B-] ( F ) ( F ) F . O = S ( O [K] ) O S ( = O ) O [K] . c 1 c c c ( - c 2 c c ( - c 3 c c c c c 3 ) [n+] ( C 3 C C C C C C C 3 ) c ( - c 3 c c c c c 3 ) c 2 ) c c 1 | [v0]
N c 1 c c c c c 1 . O = C c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O B ( O ) C 1 C C C C 1 | [v2]
C = C c 1 c c c ( Cl ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . C S ( C ) = O | [v0]
C C ( = N N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 ) c 1 c c c c c 1 . O = C = O . S c 1 c c c c c 1 | [v0]
C c 1 c c c ( N ) n c 1 . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . [C-] # [O+] | [v0]
C C ( = O ) C 1 C C C C C 1 . C c 1 c c c c c 1 . c 1 c c c ( N c 2 c c c c c 2 ) c c 1 | [v4]
C = C / C = C / c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C c 2 c c c c c 2 1 . C O C ( = O ) c 1 c c c ( C ( = O ) O ) c c 1 | [v9]
C C # N . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O . O = C ( / C = C / c 1 c c c c c 1 ) O C c 1 c c c c c 1 | [v0]
C = C c 1 c c ( C ( C ) = O ) c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0]
O = C = O . O = S ( O [Na] ) C ( F ) ( F ) F . [H] / C = C \ c 1 c c c c ( O C ) c 1 | [v0]
C = C ( C ) C ( = C ) C . C [Si] ( C ) ( C ) N = [N+] = [N-] . C c 1 c c ( C ) [n+] ( N C ( = O ) O C ( C ) ( C ) C ) c ( C ) c 1 . F [B-] ( F ) ( F ) F | [v1]
[CH2] . [C] = C c 1 c c c ( C ( = [C] ) [C] [C] [C] C 2 = C [C] c 3 c c c c c 3 2 ) c c 1 | [v0]
C = C ( N = [N+] = [N-] ) c 1 c c c ( C ) c c 1 . C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( C ( = O ) O C C ) C 1 C 1 C C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C = C ( C ) c 1 c c c ( C ) c c 1 . C = C C # N . C [Si] ( C ) ( C ) N = [N+] = [N-] | [v25]
C # C C C C C C C . N c 1 c c c c n 1 . O = O | [v3]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F . F [B-] ( F ) ( F ) F | [v0]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C C ( C ) O C ( = O ) C ( C ) ( C ) Br . C S ( C ) = O | [v1]
C c 1 c c c ( S ( = O ) ( = O ) N N = C C C C N 2 C ( = O ) c 3 c c c c c 3 C 2 = O ) c c 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v0]
C = C c 1 c c c c c 1 O C . C C O C ( = O ) C ( F ) ( F ) Br . C n 1 c c c 2 c c c c c 2 1 | [v0]
C O c 1 c c c ( / C = C / C ( = O ) c 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) C 1 C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v0]
C = C c 1 c c c c c 1 . C C ( = O ) c 1 c c c c c 1 N . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 . O = C c 1 c c c c c 1 | [v0]
C = C c 1 c c c ( Cl ) c c 1 . C C [N+] ( C C ) = C ( C ) / N = S ( / c 1 c c c c c 1 ) C ( F ) ( F ) Br . C O . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F | [v0]
C = C c 1 c c c ( I ) c c 1 . C c 1 c c c ( S ( = O ) ( = O ) O C ( F ) ( F ) F ) c c 1 . [N-] = [N+] = N [IH2] 1 O C ( = O ) c 2 c c c c c 2 1 | [v32]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) O [IH2] ( N = S ( C ) ( = O ) c 2 c c c ( F ) c c 2 ) c 2 c c c c c 2 ) c c 1 . O = O | [v0]
C 1 C C N C 1 . C = C c 1 c c c ( C ( = O ) O C ) c c 1 . O = C 1 C C C ( = O ) N 1 Cl . O C 1 ( c 2 c c c ( Cl ) c c 2 ) C C N C C 1 | [v35]
C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( O C ( = O ) C C ) C 1 C ( C ) C C . O = C ( / C = C / c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c 2 c c c c c 2 s 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N [C@H] 1 c 2 c c c c c 2 C [C@H] 1 O | [v1]
C C C C I . C O c 1 c c c ( N ) c c 1 . C c 1 c c c c ( C = O ) c 1 | [v10]
C = C / C = C / c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . O = C ( O ) C 1 C C O C C 1 | [v9]
C C C C C ( = O ) c 1 c c c ( C C C C # C S C ) c c 1 . C S ( C ) = O . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . O = S ( = O ) ( O ) C ( F ) ( F ) F | [v0]
C = C c 1 c c c ( C ) c c 1 . N # C c 1 c c [n+] ( O C C C c 2 c c c c c 2 ) c c 1 | [v0]
C C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . O = O | [v21]
C 1 N C [C@@H] 2 C [C@H] 1 2 . C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C C C C = O | [v0]
Br c 1 c c c 2 c c [nH] c 2 c 1 . C # C c 1 c c c c c 1 . O = O | [v11]
C = C / C = C \ C C C C C C C C C C O c 1 c c c c 2 c 1 C C [C@H] 1 [C@H] 2 C C [C@@] 2 ( C ) C ( = O ) C C [C@H] 1 2 . C C ( C ) = C C O c 1 c c c c c 1 Br . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0]
C = C ( C ) c 1 c c c c c 1 . O = C c 1 c c c c c 1 . c 1 c c c ( C n 2 c c c 3 c c c c c 3 2 ) c c 1 | [v37]
C = C C N C ( = O ) O C ( C ) ( C ) C . O = S ( = O ) ( / C = C / c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v2]
C = C c 1 c c c ( O C ( C ) = O ) c c 1 . C C [N+] ( C C ) = C ( C ) / N = S ( / c 1 c c c c c 1 ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) F . C O . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F | [v0]
C # C c 1 c c c c c 1 . F [B-] ( F ) ( F ) C 1 C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v51]
C = C O C C 1 C C N ( C ( = O ) O C ( C ) ( C ) C ) C C 1 . C c 1 c c ( C ) n ( C ( = O ) / C = C / C ( C ) C ) n 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v44]
O = C ( O ) C 1 C O c 2 c c c c c 2 O 1 . O = C 1 O c 2 c c c c c 2 [IH2] 1 C # C c 1 c c c ( - c 2 c c c c c 2 ) c c 1 | [v4]
C C ( C ) I . C C O C ( = O ) C ( = O ) C C c 1 c c c c c 1 . N C 1 C C S C C 1 | [v17]
C c 1 c c ( C ) c ( O ) c ( C ) c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( Cl ) c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v0]
C = C N C ( C ) = O . C C O C ( = O ) c 1 c c c n c 1 . C O C ( = O ) C Br | [v48]
C # C c 1 c c c c c 1 . C C O C ( = O ) C ( Br ) C ( = O ) O C C . N # C c 1 c c c ( O c 2 c c c c c 2 ) c c 1 . O | [v0]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C O . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0]
C # C c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) N 1 C C C C 1 C ( = O ) O . C O C ( = O ) c 1 c c c ( Br ) c c 1 | [v7]
C 1 = C ( c 2 c c c c n 2 ) C C C C 1 . C = C ( C ) c 1 c c c c c 1 | [v0]
C = C N C ( C ) = O . C C O c 1 c c c 2 n c c c c 2 c 1 . C O C ( = O ) C Br | [v48]
C = C C O c 1 c c c c c 1 [N+] # N . F [B-] ( F ) ( F ) F . O C c 1 c c c c c 1 . [C-] # [O+] | [v43]
C = C c 1 c c c ( - c 2 c c c c c 2 ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . C S ( C ) = O | [v1]
C = C O C C . O = C ( C C ( = O ) c 1 c c c c c 1 ) N c 1 c c c c c 1 . c 1 c c c 2 c n c c c 2 c 1 | [v0]
C [Se] C # C C C C c 1 c c c c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . O . O = S ( = O ) ( O ) C ( F ) ( F ) F | [v0]
C # C c 1 c c c c c 1 . C O . Cl c 1 c c c ( C N c 2 c c c c c 2 ) c c 1 | [v3]
C = C O C C C C O C ( = O ) c 1 c c c c c 1 . C c 1 c c ( C ) n ( C ( = O ) / C = C / C ( C ) C ) n 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v44]
C = C / C = C / c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . C O C ( = O ) c 1 c c c ( C ( = O ) O ) c c 1 | [v9]
C = C c 1 c c c ( O C ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . C n 1 c c c 2 c c c n c 2 1 | [v0]
C C ( = O ) N c 1 c c c ( C # C C C ( = O ) c 2 c c c s 2 ) c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O | [v0]
C = C C ( = O ) O c 1 c c c c c 1 . C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . N # C [Se-] . [NH4+] | [v0]
C ( # C c 1 c c c c c 1 ) c 1 c c c c c 1 . F c 1 c c c 2 c c [nH] c 2 c 1 . O = O | [v11]
C = C c 1 c c c c c 1 O . C C ( C ) O [n+] 1 c c c c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c ( Br ) c 1 . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F | [v6]
C # C c 1 c c c c c 1 . C O . C c 1 c c c c ( N ) c 1 C ( = O ) O . O = O | [v3]
C = C C = C . C C ( C ) = C C O c 1 c c c ( C C O ) c c 1 Br . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0]
C C ( C ) ( C ) O C ( = O ) N 1 C C C C C C 1 . O = C = O . [C-] # [N+] c 1 c c c ( C = C ) c c 1 | [v0]
C C ( C ) I . C N C c 1 c c c c c 1 . O = C C 1 C N ( C ( = O ) O C c 2 c c c c c 2 ) C 1 | [v8]
C = C / C = C / c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . C c 1 c c c c ( C ( = O ) O ) c 1 | [v9]
C = C c 1 c ( C ) c c ( C ) c c 1 C . C c 1 c c c ( S ) c c 1 . O = C = O | [v27]
C = C c 1 c c c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 . O = S ( = O ) ( Cl ) c 1 c c c c 2 c c c c c 1 2 | [v0]
C 1 C C C C C 1 . C = C C ( = O ) O C . F c 1 c c c ( Br ) c c 1 Cl | [v13]
C # C c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( F ) c c 1 . O = O . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C = C c 1 c c c ( Br ) c c 1 . C N ( C ) C = O . F c 1 c c c 2 c ( c 1 ) c 1 c c ( F ) c c c 1 [s+] 2 C ( F ) ( F ) F . O | [v1]
C C O C ( = O ) C ( F ) ( F ) Br . N N 1 C C O C C 1 . O = C c 1 c c c c ( F ) c 1 | [v0]
C # C c 1 c c c ( C # C c 2 c c c c c 2 ) c c 1 . O = O . O c 1 c c c c c 1 | [v3]
C O c 1 c c c ( N ) c c 1 . C c 1 c c c c ( C = O ) c 1 . I C 1 C C C C C 1 | [v10]
C # C c 1 c c c c c 1 . C C S ( = O ) O [Na] . N # C c 1 c c c ( Br ) c c 1 | [v5]
C O c 1 c c c ( C = O ) c c 1 . I C 1 C C C C C 1 . N c 1 c c c ( Br ) c c 1 | [v10]
C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( C ( = O ) O C C ) C 1 C 1 C C C C C 1 . F C ( F ) ( F ) c 1 c c c ( C # C Br ) c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v0]
Br C 1 C C C 1 . C = C ( c 1 c c c 2 c c c c c 2 c 1 ) c 1 c c c c c 1 N . O = C = O | [v0]
C = C ( C ( = O ) O C ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . C n 1 c c c 2 c ( Cl ) c ( C = O ) c n c 2 1 . N c 1 c c c ( F ) c c 1 | [v31]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c ( C ( C ) ( C ) C ) c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N = C ( N ) c 1 c c c ( Br ) c c 1 | [v0]
C = C ( c 1 c c c ( F ) c c 1 ) c 1 c c c ( F ) c c 1 . C C ( C ) O P ( = O ) ( O C ( C ) C ) C ( F ) ( F ) Br . C O c 1 c c c ( N ) c c 1 | [v19]
C = C C C C C C C . C O c 1 c c c ( [N+] # N ) c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . F [B-] ( F ) ( F ) F | [v0]
C = C C C C ( = O ) N c 1 c c c ( C ( = O ) O C C ) c c 1 . O = S ( = O ) ( c 1 c c c c c 1 ) N ( F ) S ( = O ) ( = O ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v1]
C = C ( C ) / C = C / c 1 c c c c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . C c 1 c c ( C ) [n+] ( N C ( = O ) O C ( C ) ( C ) C ) c ( C ) c 1 . F [B-] ( F ) ( F ) F | [v1]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C c 1 c c c ( S ( = O ) ( = O ) O C ( F ) ( F ) F ) c c 1 . [N-] = [N+] = N [IH2] 1 O C ( = O ) c 2 c c c c c 2 1 | [v32]
C = C c 1 c c ( Br ) c c c 1 O . C C ( C ) O [n+] 1 c c c c c 1 . C S ( C ) = C C ( = O ) c 1 c c c ( Br ) c c 1 . F [B-] ( F ) ( F ) F | [v6]
C # C c 1 c c c c c 1 . C c 1 c c ( Br ) c c n 1 . C c 1 c c c ( S ( = O ) O ) c c 1 | [v5]
C # C c 1 c c c c c 1 . C C C ( C ) C O . C C N c 1 c c c c c 1 | [v3]
C c 1 c c c ( S ( = O ) ( = O ) Cl ) c c 1 . Cl c 1 c c c ( C = C 2 C C 2 ) c ( Cl ) c 1 . O | [v0]
C 1 = C ( c 2 c c c c n 2 ) C C C C 1 . C = C c 1 c c c c ( C [CH2+] ) c 1 | [v0]
C = C ( C N C c 1 c c c c c 1 ) c 1 c c c ( Cl ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . O = C = O | [v0]
C = C c 1 c c c 2 c c c c c 2 c 1 . C C ( C ) ( C ) O C ( = O ) C 1 C C ( = N O C ( = O ) c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) C 1 . O B ( O ) c 1 c c c c c 1 | [v18]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C S ( C ) = O . O = C ( O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O ) C 1 C C C ( F ) ( F ) C C 1 | [v0]
C O C ( = O ) c 1 c c c ( C = O ) c c 1 . F [B-] ( F ) ( F ) C 1 C C C C C 1 . N c 1 c c ( Cl ) c c ( Cl ) c 1 . [K+] | [v0]
C C N ( C C ) C ( = O ) C ( F ) ( F ) Br . N N 1 C C O C C 1 . O = C c 1 c c c ( Cl ) c c 1 | [v0]
C = C C C C C O C ( = O ) c 1 c c c c c 1 . C O c 1 c c c ( [N+] # N ) c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . F [B-] ( F ) ( F ) F | [v0]
C # C c 1 c c c c c 1 . O = O . O C 1 C C C C C 1 | [v6]
C C ( C ) I . C N C c 1 c c c c c 1 . O = C c 1 c c c c ( F ) c 1 | [v8]
C = C B 1 O C ( C ) ( C ) C ( C ) ( C ) O 1 . C C 1 ( Br ) C C C C C C C C C C C 1 . C O C ( = O ) c 1 c c c ( Br ) c c 1 | [v36]
C = C ( O [Si] ( C ) ( C ) C ) c 1 c c c c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N = C ( N ) c 1 c c c c c 1 | [v0]
C # C c 1 c c c ( C ) c c 1 . N c 1 c c c c n 1 . O = O . S c 1 c c c c c 1 | [v0]
C = C ( C N C c 1 c c c c c 1 ) c 1 c c c c c 1 C . C C O C ( = O ) C ( F ) ( F ) Br . O = C = O | [v0]
C C N ( C C ) C C . C c 1 c c c ( S ( = O ) ( = O ) N c 2 c c c ( C # C C O ) c c 2 ) c c 1 . F . F B ( F ) F . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . [F-] | [v0]
C C ( = N N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 ) c 1 c c c ( - c 2 c c c c c 2 ) c c 1 . O = C c 1 c c c c c 1 . S c 1 c c c c c 1 | [v0]
C = C c 1 c c c c c 1 . C S ( = O ) O [Na] . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 | [v0]
C c 1 c c c ( C = N N S ( = O ) ( = O ) c 2 c c c ( C ) c c 2 ) c c 1 . O = C = O . S c 1 c c c c c 1 Br | [v0]
C # C c 1 c c c c ( O C ) c 1 . C C ( C ) O . O = O | [v6]
Br c 1 n c 2 c c c c c 2 s 1 . C # C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C C 1 ( O C ( = O ) C ( = O ) O [Cs] ) C C C C C 1 | [v7]
C = C ( C ( = O ) O C c 1 c c c c c 1 ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . C C C ( = O ) C C ( C ) [B-] ( F ) ( F ) F . F [N+] 1 2 C C [N+] ( C Cl ) ( C C 1 ) C C 2 . [K] | [v0]
C 1 C C N C C 1 . Cl c 1 c c c c n 1 . [C-] # [O+] | [v4]
C C ( = O ) c 1 c c c c ( N O C ( = O ) c 2 c c c c c 2 ) c 1 . C C C C C ( = O ) O . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v23]
C C # N . C C ( = O ) / C = C / c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 . O | [v0]
C C O C ( = O ) C ( Br ) C ( = O ) O C C . C N 1 C ( = O ) C = C C 1 = O . C O C ( = O ) / C = C \ N c 1 c c c c c 1 O C | [v42]
C C ( C ) ( C ) O C ( = O ) n 1 c c c 2 c c c c c 2 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . O = O | [v46]
C / C = C / c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 . N # C c 1 c c n c c 1 | [v0]
C = C / C = C / c 1 c c c ( F ) c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . C O C ( = O ) c 1 c c c ( C ( = O ) O ) c c 1 | [v9]
C 1 C C N C C 1 . C = C C C C ( = O ) N ( C ) O C . O = C 1 C C C ( = O ) N 1 Cl | [v24]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c ( C ) c c 1 . F [B-] ( F ) ( F ) F . O = S ( O [K] ) O S ( = O ) O [K] . c 1 c c c ( - c 2 c c ( - c 3 c c c c c 3 ) [n+] ( C 3 C C C C C 3 ) c ( - c 3 c c c c c 3 ) c 2 ) c c 1 | [v0]
C # C c 1 c c c c c 1 . C C N c 1 c c c c c 1 . C O | [v3]
C = C c 1 c c c c ( O C ) c 1 . F B ( F ) F . [F-] . [N-] = [N+] = N [Na] . c 1 c c c ( - c 2 c c ( - c 3 c c c c c 3 ) [n+] ( C 3 C C O C C 3 ) c ( - c 3 c c c c c 3 ) c 2 ) c c 1 | [v25]
C [Si] ( C ) ( C ) N = [N+] = [N-] . O = C ( c 1 c c c c ( Cl ) c 1 ) n 1 c c c 2 c c c c c 2 1 . O = O | [v46]
C = C c 1 c c c c ( Cl ) c 1 . C C ( C ) ( C ) O C ( = O ) / N = N / C ( = O ) O C ( C ) ( C ) C . O = S ( O [Na] ) C ( F ) ( F ) F | [v0]
C / C = C / c 1 c c c c c 1 . N # C c 1 c c n c c 1 | [v16]
C = C N C ( C ) = O . C C N ( C C ) C ( = O ) Br . c 1 c c c 2 n c c c c 2 c 1 | [v48]
O = C ( C # C c 1 c c c c c 1 ) O c 1 c c c c c 1 . O = C ( O N = C 1 C C ( c 2 c c c ( Br ) c c 2 ) C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v2]
C = C C ( = O ) O C ( C ) ( C ) C . C C ( C ) ( C ) [B-] ( F ) ( F ) F . C S ( = O ) ( = O ) c 1 c c c ( Br ) c c 1 . [K+] | [v28]
C / C = C \ c 1 c c c ( C # N ) c c 1 . O = C = O . O = S ( O [Na] ) C ( F ) ( F ) F | [v0]
C = C c 1 c c c c c 1 . C S ( C ) = O . O = C 1 O [IH2] ( C ( F ) ( F ) F ) c 2 c c c c c 2 1 | [v0]
C # C c 1 c c c c c 1 . C O . c 1 c c c 2 c ( c 1 ) C C C N 2 | [v3]
C c 1 c c c c c 1 [I+] c 1 c c c c c 1 C . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . O = [PH] ( c 1 c c c c c 1 ) c 1 c c c c c 1 | [v0]
C C ( = O ) O C ( C ) = O . C C ( C ) ( C ) C 1 = C C ( = C c 2 c c c ( F ) c c 2 ) C = C ( C ( C ) ( C ) C ) C 1 = O . F [B-] ( F ) ( F ) C 1 C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v39]
C C ( = O ) C 1 C C C C C 1 . C c 1 c c ( C ) c c ( C ) c 1 . c 1 c c c ( N c 2 c c c c c 2 ) c c 1 | [v4]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 N . C C ( C ) Br . O = C = O | [v0]
F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . O = [PH] ( c 1 c c c c c 1 ) c 1 c c c c c 1 . c 1 c c c 2 c c ( [I+] c 3 c c c 4 c c c c c 4 c 3 ) c c c 2 c 1 | [v0]
C = C c 1 c c c 2 c ( c 1 C ) [C@@H] 1 C C [C@@] 3 ( C ) C ( = O ) C C [C@@H] 3 [C@H] 1 C C 2 . C N ( O C ( = O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) C ( = O ) O C C ( Cl ) ( Cl ) Cl | [v1]
C # C c 1 c c c c c 1 . C O c 1 c c c ( S ( = O ) O [Na] ) c c 1 . N # C c 1 c c c ( Br ) c c 1 | [v5]
F [B-] ( F ) ( F ) C 1 C C C C C 1 . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 . [K+] | [v0]
C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( C ( = O ) O C C ) C 1 C 1 C C C C C 1 . C O c 1 c c c ( C ( O C ( C ) = O ) C 2 = C C C C 2 = O ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C 1 = C ( c 2 c c c c n 2 ) C C C C 1 . C = C c 1 c c c ( Cl ) c c 1 | [v0]
C C O . C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . [C-] # [O+] | [v0]
C O C ( = O ) c 1 c c c ( C = O ) c c 1 . F B ( F ) C 1 C C C C C 1 . N c 1 c c c c c 1 . [F-] . [K+] | [v0]
C = C C O c 1 c c c c c 1 C ( = C ) c 1 c c c c c 1 . O = C ( O N = C 1 C C ( C C c 2 c c c c c 2 ) C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0]
C n 1 c c c 2 c c c c c 2 1 . O = S ( = O ) ( Cl ) c 1 c c c 2 c c c c c 2 c 1 . [C-] # [O+] | [v0]
Br c 1 c c c ( - c 2 c c c c c 2 ) c c 1 . C 1 C [C@H] 2 C C [C@@H] 1 C 2 . C = C C ( = O ) O C | [v13]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) O [IH2] ( N = S ( C ) ( = O ) c 2 c c c c c 2 Br ) c 2 c c c c c 2 ) c c 1 . O = O | [v0]
C # C c 1 c c c c ( O C ) c 1 . C O c 1 c c c ( O ) c ( / C = N / N S ( = O ) ( = O ) c 2 c c c ( C ) c c 2 ) c 1 . O = O | [v3]
C = C C C C C C C C C . C C ( C ) ( C ) N C ( = O ) C ( F ) ( F ) Br . C c 1 c c c ( S ( = O ) ( = O ) C # C c 2 c c c c c 2 ) c c 1 | [v0]
C = C c 1 c c ( Cl ) c c c 1 O . C C ( C ) O [n+] 1 c c c c c 1 . C S ( C ) = C C ( = O ) c 1 c c c ( Br ) c c 1 . C c 1 c c c ( S ( = O ) ( = O ) [O-] ) c c 1 | [v6]
C # C c 1 c c c c c 1 . O . c 1 c c c 2 n c c n c 2 c 1 | [v0]
C = C C ( = O ) O C ( C ) ( C ) C . C C ( C ) ( C ) Br . C O C ( = O ) c 1 c c c ( Br ) c c 1 | [v36]
